[2025-07-23 17:29:16] (Elapsed: 8.73s) Detected: car with confidence 0.35
[2025-07-23 17:29:16] (Elapsed: 8.73s) Detected: car with confidence 0.34
[2025-07-23 17:29:16] (Elapsed: 8.73s) Processing frame 22
[2025-07-23 17:29:17] (Elapsed: 8.95s) Detected: car with confidence 0.87
[2025-07-23 17:29:17] (Elapsed: 8.95s) Detected: car with confidence 0.87
[2025-07-23 17:29:17] (Elapsed: 8.95s) Detected: car with confidence 0.83
[2025-07-23 17:29:17] (Elapsed: 8.95s) Detected: car with confidence 0.81
[2025-07-23 17:29:17] (Elapsed: 8.95s) Detected: car with confidence 0.79
[2025-07-23 17:29:17] (Elapsed: 8.95s) Detected: car with confidence 0.75
[2025-07-23 17:29:17] (Elapsed: 8.95s) Detected: car with confidence 0.67
[2025-07-23 17:29:17] (Elapsed: 8.95s) Detected: car with confidence 0.65
[2025-07-23 17:29:17] (Elapsed: 8.95s) Detected: car with confidence 0.50
[2025-07-23 17:29:17] (Elapsed: 8.95s) Detected: car with confidence 0.38
[2025-07-23 17:29:17] (Elapsed: 8.95s) Detected: car with confidence 0.32
[2025-07-23 17:29:17] (Elapsed: 8.95s) Processing frame 23
[2025-07-23 17:29:17] (Elapsed: 9.13s) Detected: car with confidence 0.88
[2025-07-23 17:29:17] (Elapsed: 9.13s) Detected: car with confidence 0.83
[2025-07-23 17:29:17] (Elapsed: 9.13s) Detected: car with confidence 0.83
[2025-07-23 17:29:17] (Elapsed: 9.13s) Detected: car with confidence 0.82
[2025-07-23 17:29:17] (Elapsed: 9.13s) Detected: car with confidence 0.79
[2025-07-23 17:29:17] (Elapsed: 9.13s) Detected: car with confidence 0.65
[2025-07-23 17:29:17] (Elapsed: 9.13s) Detected: car with confidence 0.62
[2025-07-23 17:29:17] (Elapsed: 9.13s) Detected: car with confidence 0.48
[2025-07-23 17:29:17] (Elapsed: 9.13s) Detected: car with confidence 0.45
[2025-07-23 17:29:17] (Elapsed: 9.13s) Detected: car with confidence 0.35
[2025-07-23 17:29:17] (Elapsed: 9.13s) Detected: car with confidence 0.26
